archive_index,chromosome,f1,f2,norm_f1,norm_f2,strength,raw_fitness,density,total_fitness
32,1022|1399|1833|2766|3559|4953,1.1786489964770954,0.7799156841348458,1.0,1.0,131,2605,0.49372159730078563,2605.493721597301
33,1259|2247|3078|3336|3696|4794,1.3717684568441888,0.692413773505234,1.0,1.0,138,2644,0.4931758550267169,2644.4931758550265
34,1233|1914|2393|3412|3786|5672,1.2057504441741935,0.7192707333013164,1.0,1.0,157,2696,0.49289915799714035,2696.4928991579973
35,524|1275|1676|1736|2480|4224,1.2900933254178555,0.7025105406059233,1.0,1.0,148,3175,0.49403993934833607,3175.494039939348
36,807|1392|3573|4425|4500|5171,1.2695058272171742,0.7344663563390476,1.0,1.0,141,3182,0.4939883419402605,3182.49398834194
37,461|2324|3642|3915|4450|5155,1.1874051126641365,0.8835230110549958,1.0,1.0,87,3282,0.48797022503623655,3282.4879702250364
38,308|1816|2912|3781|3992|4168,1.426619791023516,0.6983687320742945,1.0,1.0,128,3431,0.49300592142292093,3431.493005921423
39,1600|2566|2573|3120|3786|4964,1.3310096030986618,0.7142387556382397,1.0,1.0,141,3472,0.49396026323203795,3472.493960263232
40,875|1320|2057|2698|3515|4808,1.214240871299095,0.7605797158036754,1.0,1.0,138,3474,0.49435833854386146,3474.494358338544
41,1458|2053|2398|3065|3206|4958,1.2424305358595156,0.7468988849306217,1.0,1.0,138,3491,0.49432238077212715,3491.4943223807722
42,536|2035|2337|3359|4451|5891,1.2059710895507565,0.7774898119676007,1.0,1.0,130,3611,0.49413404824275314,3611.494134048243
43,1961|2863|3367|3554|3625|3735,2.3058827652007583,0.6974390257966084,1.0,1.0,29,3621,0.4781255450374654,3621.4781255450375
44,318|1608|1821|2048|4374|4651,1.2816427642546318,0.7370214189865162,1.0,1.0,140,3636,0.49439028050585343,3636.4943902805057
45,812|1602|2418|2704|3219|5380,1.3315752899221511,0.7259590572645965,1.0,1.0,137,3770,0.49335012322466765,3770.4933501232244
46,680|1898|2059|3215|4733|5534,1.1947442930986187,0.9333562602350042,1.0,1.0,64,3773,0.4886808269255827,3773.4886808269257
47,1884|1914|2538|4146|5011|5316,1.2352389591709292,0.7672983088342471,1.0,1.0,132,3778,0.49342227083215756,3778.493422270832
48,602|603|946|2125|2995|5228,1.4787428963543225,0.7028073653654685,1.0,1.0,111,3876,0.49230600947350817,3876.4923060094734
49,1236|2207|3065|3117|4228|4523,1.2653369550163944,0.7661167901165946,1.0,1.0,131,3916,0.494162976839739,3916.4941629768396
50,874|1444|2771|2911|4881|5167,1.7144459340611902,0.7007361270885778,1.0,1.0,83,3918,0.4890370276318788,3918.489037027632
51,1770|1956|3079|3196|4096|5746,1.5237641304071337,0.7053658071375379,1.0,1.0,103,3987,0.49157624961239454,3987.4915762496125
52,668|1236|1470|3200|4092|4745,1.3924861331086278,0.721580190154306,1.0,1.0,127,4046,0.4938952061587541,4046.493895206159
53,1538|2329|2697|3789|3872|4299,1.2275292469605559,0.7824546904187566,1.0,1.0,125,4176,0.49397015656250176,4176.493970156563
54,1089|1674|2132|4231|4512|4643,1.2837470649530407,0.7584253445292669,1.0,1.0,132,4372,0.49463110143329075,4372.494631101434
55,1530|2182|3428|3709|3920|5311,1.223880754503245,0.8117230669531212,1.0,1.0,117,4424,0.4925792970555872,4424.492579297055
56,1755|2334|3134|3804|4022|4307,1.5480963681046873,0.7215975000069943,1.0,1.0,99,4515,0.4924918056959791,4515.492491805696
57,755|1276|2396|2635|3207|4814,1.3622047562860757,0.7433978477562619,1.0,1.0,128,4660,0.4941564201520467,4660.494156420152
58,1277|1701|1955|2994|3052|3943,1.6210409277551758,0.7241475284150074,1.0,1.0,90,4714,0.4921203684963764,4714.492120368496
59,886|1675|3495|4429|4432|4657,1.2415389154129262,0.8234838506060944,1.0,1.0,109,4917,0.49291394290849727,4917.492913942909
60,672|2568|2931|3058|3801|3997,1.498653354943684,0.7375300491344727,1.0,1.0,102,4993,0.49290346151224795,4993.4929034615125
61,1252|2054|3426|3505|4159|4818,1.2905826030267196,0.7755551552376615,1.0,1.0,127,5190,0.494068111702471,5190.494068111702
62,1418|2327|2644|2900|5079|5749,1.8638448476937215,0.7308332419895176,1.0,1.0,63,5277,0.4884445711648953,5277.488444571165
63,394|1969|2543|3262|3729|4241,1.9235394703904434,0.7341540241402732,1.0,1.0,53,5340,0.4877398647179109,5340.487739864718
64,1676|1757|1776|2979|4165|5239,1.3328993718535387,0.7665442359024407,1.0,1.0,126,5348,0.4944093333343882,5348.494409333334
65,681|2200|2980|3862|3930|4589,1.249820769212303,1.1282663712684464,1.0,1.0,15,5381,0.4718261093148761,5381.471826109315
66,394|591|3501|3843|4521|5819,1.5734488874726589,0.7385206079045081,1.0,1.0,91,5397,0.4925777585387012,5397.492577758539
67,540|1253|2709|3701|3711|4314,1.4469126576479856,0.7508417468571581,1.0,1.0,111,5457,0.49342227083215756,5457.4934222708325
68,1204|1324|1557|3871|4357|4378,1.4825044728641574,0.7480780353940524,1.0,1.0,101,5568,0.49313930275748724,5568.493139302757
69,1381|1403|1742|2719|3866|5155,1.446558732567301,0.7610503341124902,1.0,1.0,110,5876,0.4935766629723997,5876.493576662972
70,1598|1674|1680|4073|4159|5308,1.3602410541305212,0.7788001489095522,1.0,1.0,120,6000,0.4942198923494593,6000.494219892349
71,460|740|1771|3589|3647|4167,1.8087945824685978,0.7441053236548743,1.0,1.0,67,6188,0.49031307116104395,6188.490313071161
72,233|1766|2102|3504|3704|3864,1.3596372230193112,0.7921330439517721,1.0,1.0,117,6256,0.49310538113185204,6256.4931053811315
73,1968|2115|2417|2642|3339|4372,1.2909352345500635,0.8312403981006291,1.0,1.0,103,6296,0.4926631128885413,6296.492663112888
74,745|1249|2118|3413|4276|4510,1.2983428109292576,0.8426326999108288,1.0,1.0,100,6399,0.49207991214136587,6399.492079912141
75,679|1882|1919|2841|5033|5459,1.6098890261941856,0.7574062681199465,1.0,1.0,87,6424,0.49170286668376284,6424.491702866684
76,1451|2468|2643|2913|4741|5009,1.3000898094819315,0.9475924112841727,1.0,1.0,57,6716,0.4907928075326666,6716.490792807533
77,462|806|1607|1920|3217|5305,1.4273957235695844,0.7868786869303316,1.0,1.0,107,7035,0.4932433110620076,7035.493243311062
78,1033|1955|2853|2979|2987|3933,1.35464632298832,0.9668304217255954,1.0,1.0,50,7326,0.490352235563713,7326.4903522355635
79,1331|1963|2341|2495|3073|4009,1.3895271145390733,0.8198328134495928,1.0,1.0,100,7381,0.4933275684852773,7381.493327568485
80,1186|1561|1667|2123|2537|4302,1.447028262182804,0.7937485166283894,1.0,1.0,104,7480,0.49309199245648244,7480.493091992456
81,1452|1833|1967|3262|4526|5014,1.3778344739209767,0.8240505203443846,1.0,1.0,98,7490,0.49360033667008213,7490.49360033667
82,1479|1969|2855|3656|3714|4358,1.365538115817823,0.9066363429020169,1.0,1.0,73,7504,0.49008646641351805,7504.490086466413
83,1446|2260|2918|3009|3362|4942,1.3773584066982936,0.8648061941646831,1.0,1.0,86,7693,0.49060872789161114,7693.490608727891
84,1736|2198|2209|2839|4569|5819,1.668277873520867,0.777118915817668,1.0,1.0,82,7724,0.4911071852626399,7724.491107185263
85,944|1232|1299|3435|3570|4519,2.099660437140037,0.7682453315977047,1.0,1.0,39,7726,0.4857179781991234,7726.485717978199
86,1175|1479|1837|1968|3140|4600,1.442784722524776,0.8162926308940704,1.0,1.0,98,7743,0.4936253817808486,7743.4936253817805
87,890|1531|1915|2788|3353|4288,1.3666837981392488,1.0132146841508833,1.0,1.0,35,7814,0.4848284832335447,7814.484828483233
88,1613|3047|4292|4889|4963|5101,1.4594023696936287,0.8051449938610681,1.0,1.0,99,7832,0.49324948334183816,7832.493249483342
89,686|4168|4358|4382|4640|4859,3.0049319345149543,0.7721077730173053,1.0,1.0,12,7931,0.46995934434575964,7931.469959344346
90,1041|3075|3561|4505|4729|5314,1.3767096838270145,0.98317107940636,1.0,1.0,40,8090,0.48785101114405277,8090.487851011144
91,609|1016|3855|4786|4960|5244,1.7065145914876476,0.7808511644221218,1.0,1.0,78,8187,0.490325292643269,8187.490325292643
92,969|2774|3624|3634|4728|5389,1.3804828438547372,0.9753420605083296,1.0,1.0,43,8274,0.4896072636009643,8274.4896072636
93,532|1378|2617|3344|5099|5525,1.428683995529749,0.8795129438389101,1.0,1.0,77,8339,0.49138044954876453,8339.491380449548
94,1021|1277|3723|3864|4430|5091,1.759764103452933,0.7809171736390191,1.0,1.0,71,8348,0.49014056021485447,8348.490140560214
95,677|964|1473|3119|3781|3945,1.4802806780430182,0.8184837957499836,1.0,1.0,90,8376,0.4935587305597913,8376.493558730559
96,1912|2046|2551|3356|5081|5462,1.4171853235984613,0.9642639719505476,1.0,1.0,47,8451,0.49097276994669403,8451.490972769947
97,956|1086|1824|2401|3798|4143,1.4068639783678802,0.9694031219440201,1.0,1.0,46,8501,0.4911364758459189,8501.491136475846
98,171|2415|3139|3653|3708|4879,1.4268265712527528,0.9476347132402508,1.0,1.0,50,8579,0.4921321981694856,8579.49213219817
99,1110|1383|1444|3220|3940|4073,1.4667314459049905,0.8345841764241926,1.0,1.0,87,8675,0.49266479755303133,8675.492664797554
100,1559|1703|1905|2176|3654|4430,1.5306322990333934,0.819037759111134,1.0,1.0,85,8772,0.4933185121164886,8772.493318512117
