idx,id,lon,lat
202,816,29.0279149792035,40.9926315333114
203,817,29.0278873827297,40.9917312735794
204,818,29.0278597875055,40.9908310136911
205,819,29.027832193531,40.9899307536464
206,820,29.027804600806,40.9890304934453
207,821,29.0277770093305,40.9881302330879
208,822,29.0277494191045,40.9872299725741
209,823,29.0277218301278,40.9863297119039
210,824,29.0276942424004,40.9854294510773
211,825,29.0276666559223,40.9845291900944
212,826,29.0276390706933,40.9836289289551
213,827,29.0276114867135,40.9827286676594
214,828,29.0275839039826,40.9818284062074
215,829,29.0275563225008,40.980928144599
216,830,29.0275493584762,40.9800426176114
217,831,29.0277575282359,40.9794623587786
218,873,29.0297162388801,41.0059887384222
219,874,29.0295113838899,41.0052004017038
220,875,29.0294622167659,41.004313970801
221,876,29.029434587889,41.0034137137617
222,877,29.0294069602633,41.002513456566
223,878,29.0293793338888,41.0016131992139
224,879,29.0293517087655,41.0007129417054
225,880,29.0293240848932,40.9998126840405
226,881,29.0292964622719,40.9989124262192
227,882,29.0292688409015,40.9980121682415
228,883,29.029241220782,40.9971119101073
229,884,29.0292136019134,40.9962116518168
230,885,29.0291859842954,40.9953113933698
231,886,29.0291583679281,40.9944111347665
232,887,29.0291307528115,40.9935108760067
233,888,29.0291031389454,40.9926106170906
234,889,29.0290755263297,40.991710358018
235,890,29.0290479149645,40.9908100987891
236,891,29.0290203048497,40.9899098394038
237,892,29.0289926959851,40.989009579862
238,893,29.0289650883707,40.9881093201639
239,894,29.0289374820065,40.9872090603094
240,895,29.0289098768924,40.9863088002985
241,896,29.0288822730284,40.9854085401312
242,897,29.0288546704143,40.9845082798075
243,898,29.0288270690501,40.9836080193274
244,899,29.0287994689357,40.982707758691
245,900,29.0287718700711,40.9818074978982
246,901,29.0287442724563,40.980907236949
247,902,29.0286957208617,40.9800438570746
248,903,29.0282465075326,40.9794769414694
249,944,29.0309798341981,41.0067741434143
250,945,29.0307157795126,41.0060851410604
251,946,29.0306782314464,41.0051932899868
252,947,29.0306505851662,41.0042930337639
253,948,29.0306229401381,41.0033927773847
254,949,29.0305952963619,41.002492520849
255,950,29.0305676538377,41.0015922641569
256,951,29.0305400125653,41.0006920073084
257,952,29.0305123725447,40.9997917503034
258,953,29.0304847337758,40.998891493142
259,954,29.0304570962586,40.9979912358242
260,955,29.030429459993,40.9970909783499
261,956,29.030401824979,40.9961907207192
262,957,29.0303741912164,40.9952904629321
263,958,29.0303465587052,40.9943902049886
264,959,29.0303189274453,40.9934899468887
265,960,29.0302912974368,40.9925896886323
266,961,29.0302636686794,40.9916894302196
267,962,29.0302360411732,40.9907891716504
268,963,29.030208414918,40.9898889129248
269,964,29.0301807899139,40.9889886540428
270,965,29.0301531661608,40.9880883950044
271,966,29.0301255436585,40.9871881358096
272,967,29.030097922407,40.9862878764583
273,968,29.0300703024064,40.9853876169507
274,969,29.0300426836564,40.9844873572867
275,970,29.030015066157,40.9835870974662
276,971,29.0299874499082,40.9826868374894
277,972,29.0299598349099,40.9817865773562
278,973,29.0299322211621,40.9808863170665
279,974,29.0298250865067,40.9801302567525
280,1015,29.0322555163876,41.0076059886899
281,1016,29.0319377525005,41.0069598082291
282,1017,29.0318942784315,41.0060725954528
283,1018,29.0318666147466,41.0051723400469
284,1019,29.0318389523145,41.0042720844845
285,1020,29.0318112911352,41.0033718287656
286,1021,29.0317836312086,41.0024715728903
287,1022,29.0317559725347,41.0015713168586
288,1023,29.0317283151133,41.0006710606704
289,1024,29.0317006589445,40.9997708043257
290,1025,29.0316730040281,40.9988705478247
291,1026,29.0316453503641,40.9979702911671
292,1027,29.0316176979525,40.9970700343531
293,1028,29.0315900467931,40.9961697773827
294,1029,29.0315623968859,40.9952695202559
295,1030,29.0315347482309,40.9943692629726
296,1031,29.0315071008279,40.9934690055329
297,1032,29.0314794546769,40.9925687479367
298,1033,29.0314518097779,40.9916684901841
299,1034,29.0314241661307,40.9907682322751
300,1035,29.0313965237354,40.9898679742096
301,1036,29.0313688825918,40.9889677159877
302,1037,29.0313412426999,40.9880674576094
303,1038,29.0313136040596,40.9871671990746
304,1039,29.0312859666709,40.9862669403835
305,1040,29.0312583305336,40.9853666815359
306,1041,29.0312306956478,40.9844664225319
307,1042,29.0312030620134,40.9835661633714
308,1043,29.0311754296302,40.9826659040546
309,1044,29.0311477984983,40.9817656445813
310,1045,29.0311037068844,40.980884334383
311,1046,29.0306659152856,40.9803322190029
312,1086,29.0334935849156,41.0085860051959
313,1087,29.0331682011327,41.0078287231423
314,1088,29.0331103577225,41.006951887198
315,1089,29.0330826766314,41.0060516326093
316,1090,29.0330549967939,41.0051513778642
317,1091,29.03302731821,41.0042511229626
318,1092,29.0329996408796,41.0033508679046
319,1093,29.0329719648026,41.00245061269
320,1094,29.0329442899791,41.001550357319
321,1095,29.0329166164088,41.0006501017916
322,1096,29.0328889440918,40.9997498461076
323,1097,29.032861273028,40.9988495902673
324,1098,29.0328336032173,40.9979493342704
325,1099,29.0328059346597,40.9970490781171
326,1100,29.032778267355,40.9961488218073
327,1101,29.0327506013033,40.9952485653411
328,1102,29.0327229365045,40.9943483087184
329,1103,29.0326952729585,40.9934480519392
330,1104,29.0326676106652,40.9925477950036
331,1105,29.0326399496245,40.9916475379116
332,1106,29.0326122898365,40.9907472806631
333,1107,29.032584631301,40.9898470232582
334,1108,29.032556974018,40.9889467656968
335,1109,29.0325293179874,40.9880465079789
336,1110,29.0325016632092,40.9871462501047
337,1111,29.0324740096832,40.9862459920739
338,1112,29.0324463574095,40.9853457338868
339,1113,29.0324187063879,40.9844454755432
340,1114,29.0323910566184,40.9835452170431
341,1115,29.032363408101,40.9826449583867
342,1116,29.0323339219693,40.9817461248715
343,1117,29.0321317320456,40.9810083760309
344,1129,29.0322997454555,40.9699093331454
345,1130,29.0321793564407,40.9690884770708
346,1131,29.0320671917923,40.9682358373542
347,1132,29.0319854606552,40.9675642577652
348,1155,29.035010660427,41.0109854756949
349,1156,29.0348435911944,41.0103986022518
350,1157,29.0345507846993,41.0095567220143
351,1158,29.0343542557659,41.0087313503755
352,1159,29.0343264693207,41.0078311652211
353,1160,29.0342987708219,41.0069309114502
354,1161,29.0342710735776,41.0060306575228
355,1162,29.0342433775876,41.0051304034388
356,1163,29.0342156828519,41.0042301491984
357,1164,29.0341879893705,41.0033298948015
358,1165,29.0341602971433,41.0024296402482
359,1166,29.0341326061701,41.0015293855383
360,1167,29.034104916451,41.0006291306719
361,1168,29.0340772279859,40.9997288756491
362,1169,29.0340495407747,40.9988286204698
363,1170,29.0340218548174,40.997928365134
364,1171,29.0339941701139,40.9970281096417
365,1172,29.033966486664,40.996127853993
366,1173,29.0339388044679,40.9952275981878
367,1174,29.0339111235253,40.9943273422261
368,1175,29.0338834438363,40.9934270861079
369,1176,29.0338557654007,40.9925268298333
370,1177,29.0338280882186,40.9916265734021
371,1178,29.0338004122897,40.9907263168146
372,1179,29.0337727376142,40.9898260600705
