run_id,run_label,generation,stage,chromosome,f1,f2
20260419_190457_run03,run03,0,gen0_nd,971|1520|2775|4788|5452,1.3417244269805653,0.5952254518424598
20260419_190457_run03,run03,0,gen0_nd,611|1478|1963|3716|4892,1.3443943445333273,0.5744265452770358
20260419_190457_run03,run03,5,periodic_nd,1457|1768|3629|3716|4950,0.9644396105523253,0.5241368659405027
20260419_190457_run03,run03,5,periodic_nd,536|1457|2780|3629|4585,1.0211480991404445,0.5076892203023551
20260419_190457_run03,run03,5,periodic_nd,536|1457|2135|3629|4585,1.0858817710074993,0.4878053437553632
20260419_190457_run03,run03,10,periodic_nd,536|1457|2780|3629|4585,1.0211480991404445,0.5076892203023551
20260419_190457_run03,run03,10,periodic_nd,881|1478|2046|3353|4950,1.0771054377153266,0.5070261452656735
20260419_190457_run03,run03,10,periodic_nd,525|1457|2135|3629|4585,1.1374391985290973,0.4794320410715657
20260419_190457_run03,run03,10,periodic_nd,1457|1768|3629|3716|4950,0.9644396105523253,0.5241368659405027
20260419_190457_run03,run03,10,periodic_nd,1457|1478|3629|3788|5674,1.1444521975648587,0.43235275837145165
20260419_190457_run03,run03,10,periodic_nd,1457|1768|2780|3629|4876,1.0153646596840233,0.5124619161848769
20260419_190457_run03,run03,10,periodic_nd,536|1457|2135|3629|4585,1.0858817710074993,0.4878053437553632
20260419_190457_run03,run03,15,periodic_nd,1457|1768|3629|3716|4950,0.9644396105523253,0.5241368659405027
20260419_190457_run03,run03,15,periodic_nd,1457|1478|3353|3629|4876,0.972897749373686,0.4253255998616233
20260419_190457_run03,run03,20,periodic_nd,1409|1457|3353|3629|4876,1.0058077430298937,0.41779455523515463
20260419_190457_run03,run03,20,periodic_nd,1409|1457|3629|3788|5674,1.1810987924607874,0.41624046066027937
20260419_190457_run03,run03,20,periodic_nd,1457|1478|3353|3629|4876,0.972897749373686,0.4253255998616233
20260419_190457_run03,run03,20,periodic_nd,1457|1768|3506|3629|4876,0.9617006391249228,0.5192093277532456
20260419_190457_run03,run03,25,periodic_nd,1457|1478|3506|3629|4876,0.9639968651693192,0.4109931466304213
20260419_190457_run03,run03,25,periodic_nd,1457|1768|3506|3629|4876,0.9617006391249228,0.5192093277532456
20260419_190457_run03,run03,30,periodic_nd,1457|1478|3506|3629|4876,0.9639968651693192,0.4109931466304213
20260419_190457_run03,run03,30,periodic_nd,1457|1478|3287|3629|4876,0.947988853381279,0.4131945441554421
20260419_190457_run03,run03,30,final_nd,1457|1478|3506|3629|4876,0.9639968651693192,0.4109931466304213
20260419_190457_run03,run03,30,final_nd,1457|1478|3287|3629|4876,0.947988853381279,0.4131945441554421
20260419_190507_run04,run04,0,gen0_nd,1173|1853|3062|4660|4939,1.1644005242147333,0.4774169988520537
20260419_190507_run04,run04,0,gen0_nd,1680|1960|3281|4143|5166,1.1462215277297871,0.6763718959824704
20260419_190507_run04,run04,5,periodic_nd,1173|2561|3062|4069|4660,1.0205473617707048,0.5170336413879271
