K,Lambda,PopSize,ArchiveSize,MaxGen,MutRate,CrossRate,FunctionEvals,Runtime_ms,ND_Count,Best_f1,Best_f2,Mean_f1,Mean_f2,Final_HV
3,0.50,100,50,299,0.05,0.90,30000,13478,15,1.375153,0.442146,1.443346,0.477732,1.041047
3,0.50,100,50,299,0.10,0.90,30000,13834,13,1.368520,0.441956,1.430249,0.479451,1.048379
3,0.50,100,50,299,0.10,0.90,30000,13760,16,1.359651,0.443726,1.425373,0.475066,1.047640
3,0.50,100,50,299,0.10,0.90,30000,13709,12,1.370040,0.440474,1.566218,0.465803,1.000282
3,0.50,100,50,299,0.20,0.90,30000,14194,21,1.364136,0.443605,1.428092,0.464958,1.071680
3,0.50,100,50,299,0.20,0.90,30000,14316,20,1.368076,0.443209,1.402698,0.468233,1.098030
3,0.50,100,50,299,0.20,0.90,30000,14222,21,1.361605,0.442623,1.413741,0.468800,1.102929
3,0.50,100,50,299,0.30,0.90,30000,14819,21,1.363278,0.441331,1.432500,0.473112,1.084735
3,0.50,100,50,299,0.30,0.90,30000,14641,26,1.362590,0.440665,1.536673,0.462703,1.076578
3,0.50,100,50,299,0.30,0.90,30000,14705,27,1.368425,0.441117,1.500182,0.463306,1.091227
3,0.50,100,50,299,0.40,0.90,30000,15054,28,1.363689,0.441873,1.420334,0.465134,1.107073
3,0.50,100,50,299,0.40,0.90,30000,15092,19,1.368549,0.441610,1.420547,0.461707,1.116638
3,0.50,100,50,299,0.40,0.90,30000,15032,26,1.364524,0.441044,1.448976,0.463642,1.103551
3,0.50,200,100,149,0.05,0.70,30000,13731,19,1.373300,0.452336,1.499290,0.472803,0.876150
3,0.50,200,100,149,0.05,0.70,30000,13810,12,1.382842,0.450880,1.434268,0.490258,0.913569
3,0.50,200,100,149,0.05,0.70,30000,13839,13,1.376492,0.447775,1.405441,0.494063,1.012557
3,0.50,200,100,149,0.10,0.70,30000,14030,18,1.365484,0.440898,1.643685,0.461441,1.017393
3,0.50,200,100,149,0.10,0.70,30000,14154,16,1.364006,0.445170,1.505731,0.479169,0.907586
3,0.50,200,100,149,0.10,0.70,30000,14145,18,1.366954,0.445519,1.725599,0.467945,0.815448
3,0.50,200,100,149,0.20,0.70,30000,14523,23,1.363412,0.440172,1.507706,0.467933,1.076598
3,0.50,200,100,149,0.20,0.70,30000,14543,25,1.359262,0.440172,1.467831,0.466056,1.116194
3,0.50,200,100,149,0.20,0.70,30000,14594,17,1.365764,0.444194,1.446009,0.474212,1.057211
3,0.50,200,100,149,0.30,0.70,30000,14946,18,1.371460,0.443479,1.478785,0.456436,1.067699
3,0.50,200,100,149,0.30,0.70,30000,15019,26,1.363233,0.441610,1.404999,0.469278,1.117595
3,0.50,200,100,149,0.30,0.70,30000,14911,28,1.364850,0.440930,1.466569,0.464901,1.081155
3,0.50,200,100,149,0.40,0.70,30000,15337,25,1.363288,0.442846,1.461260,0.472276,1.074478
3,0.50,200,100,149,0.40,0.70,30000,15466,28,1.369956,0.442415,1.429754,0.461859,1.104987
3,0.50,200,100,149,0.40,0.70,30000,15358,37,1.361605,0.441923,1.450600,0.464063,1.080387
3,0.50,200,100,149,0.05,0.90,30000,13904,10,1.364230,0.441996,1.465208,0.474755,1.069049
3,0.50,200,100,149,0.05,0.90,30000,13979,11,1.372114,0.445275,1.449330,0.484710,1.038090
3,0.50,200,100,149,0.05,0.90,30000,13953,11,1.377098,0.448233,1.531336,0.512594,0.913250
3,0.50,200,100,149,0.10,0.90,30000,14243,16,1.360800,0.441520,1.479968,0.463251,1.045116
3,0.50,200,100,149,0.10,0.90,30000,14272,21,1.378018,0.443661,1.560856,0.472141,0.956676
3,0.50,200,100,149,0.10,0.90,30000,14173,20,1.364020,0.440155,1.563776,0.460879,1.041606
3,0.50,200,100,149,0.20,0.90,30000,14637,21,1.364974,0.443057,1.458835,0.467809,1.063481
3,0.50,200,100,149,0.20,0.90,30000,14696,24,1.363412,0.444218,1.416124,0.467499,1.083116
3,0.50,200,100,149,0.20,0.90,30000,14712,24,1.362514,0.444315,1.476748,0.471343,1.030266
3,0.50,200,100,149,0.30,0.90,30000,15115,21,1.365617,0.440916,1.428115,0.476814,1.092796
3,0.50,200,100,149,0.30,0.90,30000,15214,31,1.359262,0.441690,1.422027,0.470946,1.106640
3,0.50,200,100,149,0.30,0.90,30000,15115,30,1.362710,0.444340,1.403099,0.468195,1.087345
3,0.50,200,100,149,0.40,0.90,30000,15544,23,1.364020,0.441610,1.428663,0.459761,1.117849
3,0.50,200,100,149,0.40,0.90,30000,15676,27,1.364524,0.442162,1.424010,0.465056,1.110144
3,0.50,200,100,149,0.40,0.90,30000,15647,27,1.361483,0.441857,1.440780,0.462835,1.095450
3,0.60,50,25,599,0.05,0.70,30000,13133,8,1.372965,0.458160,1.444349,0.480508,0.924400
3,0.60,50,25,599,0.05,0.70,30000,13143,7,1.373350,0.449691,1.432173,0.471860,1.003794
3,0.60,50,25,599,0.05,0.70,30000,13055,9,1.364315,0.448002,1.858553,0.484053,0.810576
3,0.60,50,25,599,0.10,0.70,30000,13302,11,1.368930,0.447163,1.405672,0.466791,1.052532
3,0.60,50,25,599,0.10,0.70,30000,13276,23,1.363301,0.447085,1.419358,0.463076,1.065564
3,0.60,50,25,599,0.10,0.70,30000,13302,15,1.361966,0.443345,1.508611,0.474114,1.003630
3,0.60,50,25,599,0.20,0.70,30000,13869,19,1.364074,0.445093,1.462025,0.464441,1.040291
3,0.60,50,25,599,0.20,0.70,30000,13859,20,1.369750,0.441383,1.415577,0.464283,1.088817
3,0.60,50,25,599,0.20,0.70,30000,13853,23,1.365496,0.446444,1.432450,0.470231,1.027030
3,0.60,50,25,599,0.30,0.70,30000,14342,19,1.365676,0.444870,1.424804,0.464668,1.066963
3,0.60,50,25,599,0.30,0.70,30000,14475,25,1.367760,0.441383,1.440660,0.461729,1.086008
3,0.60,50,25,599,0.30,0.70,30000,14554,21,1.365128,0.444053,1.404000,0.467636,1.090804
3,0.60,50,25,599,0.40,0.70,30000,14791,25,1.366258,0.442004,1.435187,0.460339,1.091227
3,0.60,50,25,599,0.40,0.70,30000,14833,16,1.367770,0.442306,1.425195,0.463503,1.085672
3,0.60,50,25,599,0.40,0.70,30000,14824,23,1.363385,0.441430,1.413805,0.471486,1.100681
3,0.60,50,25,599,0.05,0.90,30000,13378,14,1.382641,0.451457,1.446351,0.469340,0.944173
3,0.60,50,25,599,0.05,0.90,30000,13235,10,1.371669,0.440926,1.511477,0.454823,1.061934
3,0.60,50,25,599,0.05,0.90,30000,13391,14,1.366892,0.445563,1.596191,0.472859,0.996783
3,0.60,50,25,599,0.10,0.90,30000,13625,12,1.364417,0.450014,1.440099,0.476763,1.034334
3,0.60,50,25,599,0.10,0.90,30000,13599,11,1.366887,0.447357,1.412432,0.468559,1.054003
3,0.60,50,25,599,0.10,0.90,30000,13438,10,1.362985,0.453373,1.465311,0.490641,0.979344
3,0.60,50,25,599,0.20,0.90,30000,14016,19,1.361406,0.447695,1.421149,0.483067,1.040602
3,0.60,50,25,599,0.20,0.90,30000,14088,22,1.367168,0.446394,1.416959,0.464925,1.062615
3,0.60,50,25,599,0.20,0.90,30000,14092,15,1.361503,0.451843,1.409252,0.472745,1.029724
3,0.60,50,25,599,0.30,0.90,30000,14441,24,1.363366,0.450569,1.392940,0.469143,1.057325
3,0.60,50,25,599,0.30,0.90,30000,14519,25,1.367907,0.445138,1.422696,0.466072,1.065948
3,0.60,50,25,599,0.30,0.90,30000,14339,25,1.366204,0.444681,1.621767,0.476389,0.818671
3,0.60,50,25,599,0.40,0.90,30000,15142,17,1.367014,0.441501,1.437929,0.461110,1.093416
3,0.60,50,25,599,0.40,0.90,30000,14965,20,1.365550,0.443705,1.420662,0.463221,1.090970
3,0.60,50,25,599,0.40,0.90,30000,14902,18,1.360834,0.441926,1.456872,0.461385,1.097211
3,0.60,100,50,299,0.05,0.70,30000,13112,13,1.373077,0.446988,1.621187,0.471284,0.882339
3,0.60,100,50,299,0.05,0.70,30000,13291,19,1.383193,0.446463,1.470819,0.483782,0.895743
3,0.60,100,50,299,0.05,0.70,30000,13336,20,1.365091,0.443308,1.442671,0.488681,0.987285
3,0.60,100,50,299,0.10,0.70,30000,13548,19,1.372880,0.445506,1.536634,0.472712,0.971875
3,0.60,100,50,299,0.10,0.70,30000,13662,10,1.369442,0.446657,1.416210,0.473487,1.040409
3,0.60,100,50,299,0.10,0.70,30000,13614,25,1.363557,0.445474,1.411788,0.474609,1.065309
3,0.60,100,50,299,0.20,0.70,30000,14035,24,1.362677,0.444720,1.483279,0.467595,1.059380
3,0.60,100,50,299,0.20,0.70,30000,14103,18,1.364209,0.443705,1.422095,0.465528,1.086028
3,0.60,100,50,299,0.20,0.70,30000,14134,18,1.363301,0.443682,1.436508,0.461059,1.085360
3,0.60,100,50,299,0.30,0.70,30000,14490,24,1.363832,0.443763,1.426229,0.467186,1.088324
3,0.60,100,50,299,0.30,0.70,30000,14465,18,1.370222,0.441185,1.489997,0.458630,1.053653
3,0.60,100,50,299,0.30,0.70,30000,14412,25,1.366185,0.442166,1.460811,0.466390,1.064405
3,0.60,100,50,299,0.40,0.70,30000,14982,31,1.360887,0.441702,1.424581,0.466175,1.105399
3,0.60,100,50,299,0.40,0.70,30000,14847,26,1.368216,0.447743,1.426636,0.461568,1.056606
3,0.60,100,50,299,0.40,0.70,30000,14867,25,1.360834,0.445474,1.400364,0.467901,1.091854
3,0.60,100,50,299,0.05,0.90,30000,13340,11,1.372544,0.441471,1.511273,0.466733,0.947978
3,0.60,100,50,299,0.05,0.90,30000,13374,9,1.378435,0.448484,1.487031,0.464079,1.000196
3,0.60,100,50,299,0.05,0.90,30000,13363,15,1.371926,0.444175,1.519654,0.483032,0.932128
3,0.60,100,50,299,0.10,0.90,30000,13686,19,1.366456,0.442117,1.428896,0.478781,1.030673
3,0.60,100,50,299,0.10,0.90,30000,13739,23,1.362987,0.445474,1.428393,0.463706,1.067897
3,0.60,100,50,299,0.10,0.90,30000,13610,14,1.372187,0.444870,1.427735,0.473966,1.032512
3,0.60,100,50,299,0.20,0.90,30000,14108,17,1.363301,0.443993,1.440056,0.463986,1.054104
3,0.60,100,50,299,0.20,0.90,30000,14203,26,1.374038,0.443705,1.448694,0.457871,1.064650
3,0.60,100,50,299,0.20,0.90,30000,14193,17,1.380331,0.440207,1.523694,0.461728,1.029478
3,0.60,100,50,299,0.30,0.90,30000,14672,26,1.362677,0.442932,1.544600,0.463578,1.084735
3,0.60,100,50,299,0.30,0.90,30000,14629,25,1.366106,0.443346,1.420910,0.464713,1.085055
3,0.60,100,50,299,0.30,0.90,30000,14673,23,1.366751,0.440570,1.520655,0.460965,1.074936
3,0.60,100,50,299,0.40,0.90,30000,15049,18,1.364074,0.446854,1.401847,0.466591,1.078232
3,0.60,100,50,299,0.40,0.90,30000,15105,25,1.365618,0.441772,1.453112,0.457378,1.096628
3,0.60,100,50,299,0.40,0.90,30000,15099,23,1.363921,0.446197,1.399408,0.465403,1.082126
3,0.60,200,100,149,0.05,0.70,30000,13754,10,1.378087,0.453549,1.503397,0.468117,0.927831
3,0.60,200,100,149,0.05,0.70,30000,13734,12,1.366741,0.447130,1.472610,0.472111,0.964045
3,0.60,200,100,149,0.05,0.70,30000,13809,15,1.375651,0.453443,1.447952,0.487161,0.869838
3,0.60,200,100,149,0.10,0.70,30000,14048,15,1.362079,0.444499,1.429846,0.469067,1.048139
3,0.60,200,100,149,0.10,0.70,30000,13927,16,1.372073,0.442117,1.454915,0.459481,1.073236
