archive_index,chromosome,f1,f2,norm_f1,norm_f2,strength,raw_fitness,density,total_fitness
58,529|1763|1970|2695|3480|3571|3841|3933|3948|4806,0.7677306771514071,1.0090869219754879,1.0,1.0,42,4429,0.4728786892036355,4429.472878689204
59,745|944|2062|2195|2548|2981|3195|4096|4712|5529,0.9331108398187473,0.6778009263028055,1.0,1.0,98,4435,0.48759939000328106,4435.487599390003
60,1677|1680|2475|2639|3140|3356|3919|4370|5021|5305,0.786435057585336,0.8111324931163405,1.0,1.0,98,4503,0.49053136689389093,4503.490531366894
61,1114|1403|1591|1769|1814|2554|3214|3409|3559|5240,0.8084955776698912,0.725629190977331,1.0,1.0,123,4543,0.49007589183224204,4543.490075891832
62,1613|1687|1805|1913|2609|2756|3567|3800|4155|5016,0.8248485538193125,0.715494744049615,1.0,1.0,125,4560,0.4907185337948247,4560.490718533795
63,946|966|1114|2198|2645|3049|3417|3635|4888|5820,0.9888004771147124,0.6832648802133543,1.0,1.0,77,4791,0.4882376464329915,4791.488237646433
64,523|878|1252|1776|1974|2190|3950|4293|4663|4748,0.9676328698299954,0.6839329774399424,1.0,1.0,88,4791,0.48872494981968834,4791.48872494982
65,967|1229|1532|2903|3428|3625|3659|4730|4735|4813,0.7885929524188083,0.8264769136288952,1.0,1.0,93,4899,0.49024417356656147,4899.490244173567
66,1333|2048|2397|2420|2975|3066|3649|4284|4807|5166,0.7833988144825409,1.1894851811536364,1.0,1.0,11,5060,0.45369903713959975,5060.45369903714
67,1096|1229|2195|3274|3419|3713|3850|3873|4880|5747,0.8253076187539763,0.741633781445135,1.0,1.0,114,5191,0.49077873484505935,5191.490778734845
68,1554|1555|1603|1974|3195|3717|4091|4372|4643|4786,0.8261634759926844,0.7305249673103366,1.0,1.0,116,5191,0.4914344630240334,5191.491434463024
69,307|1301|1418|1593|2899|3803|4008|4368|4936|5234,1.1976167180129318,0.6896657479967058,1.0,1.0,33,5244,0.4744913701887015,5244.474491370189
70,954|1087|1322|1333|1528|2992|3589|4449|4941|5030,0.8228690077724754,0.7817381463230115,1.0,1.0,104,5295,0.49008260833431433,5295.490082608334
71,1696|1747|2202|2350|2644|4078|4133|4582|4660|4722,0.8949224877379063,0.7106228416516318,1.0,1.0,101,5424,0.4896693171165285,5424.489669317117
72,1171|1303|1472|1664|1753|1760|3642|3943|4437|4744,0.8507999234916724,0.7220693748050085,1.0,1.0,108,5480,0.490739058267502,5480.4907390582675
73,1027|1274|1661|1772|2179|2324|2401|2563|4786|4950,0.930464574386948,0.7077751556942923,1.0,1.0,94,5500,0.48906100318685386,5500.489061003187
74,1472|1591|1741|3497|4076|4205|4494|4861|4943|5247,0.8780365676550312,0.7196157035101821,1.0,1.0,103,5579,0.4902266899476266,5579.490226689948
75,750|965|1527|1534|1811|2987|3134|3561|4519|5376,0.830428691680113,0.7407709834605138,1.0,1.0,111,5584,0.4911752407888861,5584.491175240789
76,1024|1093|2065|3279|3344|4520|4528|4785|4859|5319,0.9876881831815252,0.7062269327492973,1.0,1.0,78,5781,0.4869952773452648,5781.486995277345
77,1161|1781|1829|2486|3220|3713|3870|3914|4163|5672,0.8291259040893183,0.7633644156506033,1.0,1.0,106,5802,0.49034974519328445,5802.490349745193
78,810|1257|1750|1843|3295|3652|4024|4216|5381|5673,0.8441579234653961,0.750194759840467,1.0,1.0,105,6062,0.4910962671078021,6062.491096267107
79,1520|1758|1991|2247|2550|3292|3571|4527|4588|4733,0.8109580004452437,0.8354475005297257,1.0,1.0,87,6070,0.490143531743042,6070.490143531743
80,1233|1982|2787|2909|3987|4364|4377|4959|5241|5891,0.8113875743133453,0.8994509021898552,1.0,1.0,67,6317,0.48358466463712774,6317.483584664637
81,1313|1346|1527|1739|2063|3141|3192|4521|5101|5531,1.0592266817208797,0.714003412382612,1.0,1.0,56,6476,0.48442076817633073,6476.484420768176
82,543|663|959|1320|1559|1776|2849|4095|4140|4277,1.1441891696744422,0.7116148530421217,1.0,1.0,41,6530,0.4810378386166792,6530.481037838616
83,902|1594|1882|1919|2778|3284|3421|4021|4061|4360,0.9712462971826076,0.7211915690990791,1.0,1.0,82,6610,0.48800763219307053,6610.488007632193
